activity_id,CMIP6_activity_id.json
institution_id,CMIP6_institution_id.json
source_id,CMIP6_source_id.json
experiment_id,CMIP6_experiment_id.json
variable_id,data request
table_id,CMIP6_table_id.json
variant_label,indices
version,something
sub_experiment_id ,CMIP6_sub_experiment_id.json
grid_label ,CMIP6_grid_label.json
mip_era ,constant=CMIP6
member_id,sub_experiment_id+variant_label
frequency,CMIP6_frequency.json
realm,CMIP6_realm.json
product ,constant=model-output
nominal_resolution,CMIP6_nominal_resolution.json
source_type,CMIP6_source_type.json
